Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Picoult, Jodi",Vanishing Acts,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,"Adult children of divorced parents,Adult children of divorced parents in fiction,Arizona in fiction,Arizona, fiction,Divorced fathers,Divorced fathers in fiction,Divorced people, fiction,Fathers and daughters,Fathers and daughters in fiction,Fathers and daughters, fiction,Fiction,Fiction, family life,Fiction, family life, general,Fiction, psychological,Girl kidnapping,Hopi Indians,Kidnapping,Literature,Memory,New Hampshire in fiction,New hampshire, fiction,Parental kidnapping,Parental kidnapping in fiction,Psychological fiction,Single mothers,Young women,Young women in fiction,Young women, fiction",Adult children of divorced parents,Adult children of divorced parents in fiction,Arizona in fiction,Arizona, fiction,"Divorced fathers,Divorced fathers in fiction,Divorced people,Fathers and daughters,Fathers and daughters in fiction,Fiction, family life, general, psychological,Girl kidnapping,Hopi Indians,Kidnapping,Literature,Memory,New Hampshire in fiction,New hampshire,Parental kidnapping,Parental kidnapping in fiction,Psychological fiction,Single mothers,Young women,Young women in fiction","[27.9944, -81.7603]"
"Picoult, Jodi",Vanishing Acts,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Adult children of divorced parents,Adult children of divorced parents in fiction,Arizona in fiction,Arizona, fiction,Divorced fathers,Divorced fathers in fiction,Divorced people, fiction,Fathers and daughters,Fathers and daughters in fiction,Fathers and daughters, fiction,Fiction,Fiction, family life,Fiction, family life, general,Fiction, psychological,Girl kidnapping,Hopi Indians,Kidnapping,Literature,Memory,New Hampshire in fiction,New hampshire, fiction,Parental kidnapping,Parental kidnapping in fiction,Psychological fiction,Single mothers,Young women,Young women in fiction,Young women, fiction",Adult children of divorced parents,Adult children of divorced parents in fiction,Arizona in fiction,Arizona, fiction,"Divorced fathers,Divorced fathers in fiction,Divorced people,Fathers and daughters,Fathers and daughters in fiction,Fiction, family life, general, psychological,Girl kidnapping,Hopi Indians,Kidnapping,Literature,Memory,New Hampshire in fiction,New hampshire,Parental kidnapping,Parental kidnapping in fiction,Psychological fiction,Single mothers,Young women,Young women in fiction","[27.9944, -81.7603]"
"Picoult, Jodi",Vanishing Acts,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,March 2023,Formal Challenge,"Adult children of divorced parents,Adult children of divorced parents in fiction,Arizona in fiction,Arizona, fiction,Divorced fathers,Divorced fathers in fiction,Divorced people, fiction,Fathers and daughters,Fathers and daughters in fiction,Fathers and daughters, fiction,Fiction,Fiction, family life,Fiction, family life, general,Fiction, psychological,Girl kidnapping,Hopi Indians,Kidnapping,Literature,Memory,New Hampshire in fiction,New hampshire, fiction,Parental kidnapping,Parental kidnapping in fiction,Psychological fiction,Single mothers,Young women,Young women in fiction,Young women, fiction",Adult children of divorced parents,Adult children of divorced parents in fiction,Arizona in fiction,Arizona, fiction,"Divorced fathers,Divorced fathers in fiction,Divorced people,Fathers and daughters,Fathers and daughters in fiction,Fiction, family life, general, psychological,Girl kidnapping,Hopi Indians,Kidnapping,Literature,Memory,New Hampshire in fiction,New hampshire,Parental kidnapping,Parental kidnapping in fiction,Psychological fiction,Single mothers,Young women,Young women in fiction","[27.9944, -81.7603]"
"Seuss, Dr.",Ven a Mi Casa,Banned in Classrooms,,"Kath, Katie","Lázaro, Georgina",Pennsylvania,Central York School District,August 2021,Administrator,Children's fiction,Children's fiction,,,,,,"[41.2033, -77.1945]"
"Hoover, Colleen",Verity,Banned from Libraries and Classrooms,,,,Utah,Granite School District,October 2022,Formal Challenge,"Family secrets in fiction,Fiction,Fiction, romance, contemporary, suspense,Man-woman relationships, fiction,New York Times bestseller,Romance,Secrecy in fiction,collectionid:nyt2020s",Family secrets in fiction,Fiction, romance, contemporary, suspense,"Man-woman relationships, fiction,New York Times bestseller,Romance,Secrecy in fiction,collectionid:nyt2020s","[39.32, -111.0937]"
"Zeri, Federico",Vermeer: The Astronomer,Banned Pending Investigation,"Vermeer, Johannes; Dolcetta, Marco",,,Missouri,Wentzville School District,September 2022,Legislative Action,Unknown,Unknown,,,,,,"[38.3566, -92.458]"
"Dugan, Jennifer",Verona Comics,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,Children's fiction,Children's fiction,,,,,,"[35.5175, -86.5804]"
"Durst, Sarah Beth",Vessel (SBD),Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,Unknown,Unknown,,,,,,"[41.2033, -77.1945]"
"Myracle, Lauren",Victor and Nora: A Gotham Love Story,Banned in Libraries,,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,December 2021,Administrator,Unknown,Unknown,,,,,,"[44.5, -89.5]"
"Cabot, Meg",Victoria and the Rogue,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Administration,"Fiction,Fiction, romance, general,Heiresses,Love,Love stories,Marriage,Romance fiction",Fiction, romance, general,Heiresses,Love,"Love stories,Marriage,Romance fiction","[31.9686, -99.9018]"
"Anders, Charlie Jane",Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,Unknown,Unknown,,,,,,"[35.5175, -86.5804]"
"Miller, Sarah",Violet and Daisy: The Story of Vaudeville's Famous Conjoined Twins,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Unknown,Unknown,,,,,,"[38.3566, -92.458]"
"Howard, Elizabeth Fitzgerald",Virgie Goes to School with Us Boys,Banned Pending Investigation,,"Lewis, E.B.",,Florida,Duval County Public Schools,January 2022,Administrator,"African Americans,African americans, fiction,Children's fiction,Fiction,History,Juvenile fiction,Schools,Schools, fiction,Sex role",African Americans,African americans, fiction,Children's fiction,Fiction,"History,Juvenile fiction,Schools,Sex role","[27.9944, -81.7603]"
"Roberts, Nora",Vision in White,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,March 2023,Formal Challenge,"English teachers,Female friendship,Fiction,Fiction, romance, contemporary,Large type books,Love stories,Love stories, American,New York Times bestseller,Planning,Romance,Wedding supplies and services industry,Weddings,Women photographers,nyt:trade-fiction-paperback=2009-05-17",English teachers,Female friendship,Fiction, romance, contemporary,"Large type books,Love stories, American,New York Times bestseller,Planning,Romance,Wedding supplies and services industry,Weddings,Women photographers,nyt:trade-fiction-paperback=2009-05-17","[27.9944, -81.7603]"
"Corinna, Heather","Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Banned from Libraries and Classrooms,,"Rotman, Isabella; Howard, Luke B.",,Texas,Fort Worth Independent School District,June 2023,Informal Challenge,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Corinna, Heather","Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Banned Pending Investigation,,"Rotman, Isabella; Howard, Luke B.",,Florida,Walton County School District,April 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Creech, Sharon",Walk Two Moons,Banned in Classrooms,,,,Tennessee,Williamson County Schools,November 2021,Formal Challenge,"Abenteuer,Abuelos,Adolescence,Adolescentes,Alienation (Social psychology),Amistad,Amitié,Banned books,Children's fiction,Children's stories, American,Death,Death -- Juvenile fiction,Death, fiction,Deuil,Enkelin,Erste Liebe,Families,Famille,Familles,Family,Family life,Family life, fiction,Family, fiction,Femmes abandonnant le domicile conjugal,Ficción juvenil,Fiction,Friendship,Friendship, fiction,Grandparents,Grandparents, fiction,Grands-parents,Großeltern,Idaho,Idaho, fiction,Interessenkonflikt,Ireland, fiction,JUVENILE FICTION / Family / Multigenerational,JUVENILE FICTION / Family / Parents,JUVENILE FICTION / People & Places / United States / Native American,JUVENILE FICTION / Social Themes / Death & Dying,Juvenile Literature,Juvenile fiction,Large type books,Mishnah,Mort,Muerte,Mutter,Mères et filles,New York Times reviewed,Newbery Medal,Reise,Romans, nouvelles,Romans, nouvelles, etc. pour la jeunesse,Spanish language materials,Tochter,Tod,Trauerarbeit,Travelers, fiction,Twins, fiction,Vida familiar,Voyages,Voyages and travels,Wohnungswechsel,age:max:13,age:min:10,award:Newbery_award,grade:max:7,grade:min:3,lexile:770,lexile_range:701-800",Abenteuer,Abuelos,Adolescence,Adolescentes,Alienation (Social psychology),"Amistad,Amitié,Banned books,Children's fiction,Children's stories, American,Death,Death -- Juvenile fiction, fiction,Deuil,Enkelin,Erste Liebe,Families,Famille,Familles,Family,Family life,Femmes abandonnant le domicile conjugal,Ficción juvenil,Fiction,Friendship,Grandparents,Grands-parents,Großeltern,Idaho,Interessenkonflikt,Ireland,JUVENILE FICTION / Family / Multigenerational,JUVENILE FICTION / Family / Parents,JUVENILE FICTION / People & Places / United States / Native American,JUVENILE FICTION / Social Themes / Death & Dying,Juvenile Literature,Juvenile fiction,Large type books,Mishnah,Mort,Muerte,Mutter,Mères et filles,New York Times reviewed,Newbery Medal,Reise,Romans, nouvelles, etc. pour la jeunesse,Spanish language materials,Tochter,Tod,Trauerarbeit,Travelers,Twins,Vida familiar,Voyages,Voyages and travels,Wohnungswechsel,age:max:13,age:min:10,award:Newbery_award,grade:max:7,grade:min:3,lexile:770,lexile_range:701-800","[35.5175, -86.5804]"
"Creech, Sharon",Walk Two Moons,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,"Abenteuer,Abuelos,Adolescence,Adolescentes,Alienation (Social psychology),Amistad,Amitié,Banned books,Children's fiction,Children's stories, American,Death,Death -- Juvenile fiction,Death, fiction,Deuil,Enkelin,Erste Liebe,Families,Famille,Familles,Family,Family life,Family life, fiction,Family, fiction,Femmes abandonnant le domicile conjugal,Ficción juvenil,Fiction,Friendship,Friendship, fiction,Grandparents,Grandparents, fiction,Grands-parents,Großeltern,Idaho,Idaho, fiction,Interessenkonflikt,Ireland, fiction,JUVENILE FICTION / Family / Multigenerational,JUVENILE FICTION / Family / Parents,JUVENILE FICTION / People & Places / United States / Native American,JUVENILE FICTION / Social Themes / Death & Dying,Juvenile Literature,Juvenile fiction,Large type books,Mishnah,Mort,Muerte,Mutter,Mères et filles,New York Times reviewed,Newbery Medal,Reise,Romans, nouvelles,Romans, nouvelles, etc. pour la jeunesse,Spanish language materials,Tochter,Tod,Trauerarbeit,Travelers, fiction,Twins, fiction,Vida familiar,Voyages,Voyages and travels,Wohnungswechsel,age:max:13,age:min:10,award:Newbery_award,grade:max:7,grade:min:3,lexile:770,lexile_range:701-800",Abenteuer,Abuelos,Adolescence,Adolescentes,Alienation (Social psychology),"Amistad,Amitié,Banned books,Children's fiction,Children's stories, American,Death,Death -- Juvenile fiction, fiction,Deuil,Enkelin,Erste Liebe,Families,Famille,Familles,Family,Family life,Femmes abandonnant le domicile conjugal,Ficción juvenil,Fiction,Friendship,Grandparents,Grands-parents,Großeltern,Idaho,Interessenkonflikt,Ireland,JUVENILE FICTION / Family / Multigenerational,JUVENILE FICTION / Family / Parents,JUVENILE FICTION / People & Places / United States / Native American,JUVENILE FICTION / Social Themes / Death & Dying,Juvenile Literature,Juvenile fiction,Large type books,Mishnah,Mort,Muerte,Mutter,Mères et filles,New York Times reviewed,Newbery Medal,Reise,Romans, nouvelles, etc. pour la jeunesse,Spanish language materials,Tochter,Tod,Trauerarbeit,Travelers,Twins,Vida familiar,Voyages,Voyages and travels,Wohnungswechsel,age:max:13,age:min:10,award:Newbery_award,grade:max:7,grade:min:3,lexile:770,lexile_range:701-800","[31.9686, -99.9018]"
"Steel, Danielle",Wanderlust,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,March 2023,Formal Challenge,"Fiction,Fiction, romance, contemporary,Large type books,Love stories,New York Times reviewed,Romance,Romance fiction",Fiction, romance, contemporary,Large type books,Love stories,"New York Times reviewed,Romance,Romance fiction","[27.9944, -81.7603]"
"Aveyard, Victoria",War Storm,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,"Ability,Blood,Children's fiction,Fantasy,Fantasy fiction,Fiction,Large type books,Princesses,Resistance to Government,Resistence to Government,Young adult fiction",Ability,Blood,Children's fiction,Fantasy,Fantasy fiction,"Fiction,Large type books,Princesses,Resistance to Government,Resistence to Government,Young adult fiction","[31.9686, -99.9018]"
"LaCour, Nina",Watch Over Me,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,"Children's fiction,Young adult fiction, family, orphans & foster homes,Young adult fiction, ghost stories,Young adult fiction, social themes, physical & emotional abuse",Children's fiction,Young adult fiction, family, orphans & foster homes, ghost stories," social themes, physical & emotional abuse","[31.9686, -99.9018]"
"Armstrong, Kelley",Watcher in the Woods: A Rockton Novel,Banned Pending Investigation,,,,Texas,Frisco Independent School District,October 2022,Administration,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Moore, Alan",Watchmen,Banned from Libraries,,"Gibbons, Dave",,Missouri,Independence School District,October 2022,Legislative Action,"Bandes dessinees,Bandes dessinées,Comic books, strips,Comic books, strips, etc,Comicroman,Comics & graphic novels, science fiction,Comics & graphic novels, science fiction, general,Comics & graphic novels, superheroes,Crimes against,Fiction,Good and evil,Graphic novels,Heroes,New York Times bestseller,Pn6737.m66 w38 2005b,Superheroes,Watchmen (Comic strip),nyt:paperback_graphic_books=2009-03-15",Bandes dessinees,Bandes dessinées,Comic books, strips, etc,"Comicroman,Comics & graphic novels, science fiction, general, superheroes,Crimes against,Fiction,Good and evil,Graphic novels,Heroes,New York Times bestseller,Pn6737.m66 w38 2005b,Superheroes,Watchmen (Comic strip),nyt:paperback_graphic_books=2009-03-15","[38.3566, -92.458]"
"Moore, Alan",Watchmen,Banned from Libraries,,"Gibbons, Dave",,Missouri,Webster Groves School District,September 2022,Legislative Action,"Bandes dessinees,Bandes dessinées,Comic books, strips,Comic books, strips, etc,Comicroman,Comics & graphic novels, science fiction,Comics & graphic novels, science fiction, general,Comics & graphic novels, superheroes,Crimes against,Fiction,Good and evil,Graphic novels,Heroes,New York Times bestseller,Pn6737.m66 w38 2005b,Superheroes,Watchmen (Comic strip),nyt:paperback_graphic_books=2009-03-15",Bandes dessinees,Bandes dessinées,Comic books, strips, etc,"Comicroman,Comics & graphic novels, science fiction, general, superheroes,Crimes against,Fiction,Good and evil,Graphic novels,Heroes,New York Times bestseller,Pn6737.m66 w38 2005b,Superheroes,Watchmen (Comic strip),nyt:paperback_graphic_books=2009-03-15","[38.3566, -92.458]"
"Moore, Alan",Watchmen,Banned Pending Investigation,,"Gibbons, Dave",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Bandes dessinees,Bandes dessinées,Comic books, strips,Comic books, strips, etc,Comicroman,Comics & graphic novels, science fiction,Comics & graphic novels, science fiction, general,Comics & graphic novels, superheroes,Crimes against,Fiction,Good and evil,Graphic novels,Heroes,New York Times bestseller,Pn6737.m66 w38 2005b,Superheroes,Watchmen (Comic strip),nyt:paperback_graphic_books=2009-03-15",Bandes dessinees,Bandes dessinées,Comic books, strips, etc,"Comicroman,Comics & graphic novels, science fiction, general, superheroes,Crimes against,Fiction,Good and evil,Graphic novels,Heroes,New York Times bestseller,Pn6737.m66 w38 2005b,Superheroes,Watchmen (Comic strip),nyt:paperback_graphic_books=2009-03-15","[27.9944, -81.7603]"
